date,jazz_total_streams
2017-01-01,3254640.0
2017-02-12,3409899.0
2017-03-26,10145265.0
2017-04-02,5645117.0
2017-04-09,3338509.0
2017-12-17,3868779.0
2017-12-24,4273261.0
2017-12-31,6181308.0
2018-12-09,5251429.0
2018-12-30,7324176.0
2019-12-29,7750451.0
2020-12-27,8022773.0
2021-12-19,5792144.0
2021-12-26,7298609.0
2022-01-02,7100285.0
2022-12-25,7498347.0
2023-01-01,16924095.0
2023-07-30,8090053.0
2023-08-06,8689020.0
2023-08-13,8437935.0
2023-08-20,8556319.0
2023-08-27,8874737.0
2023-09-03,8481041.0
2023-09-10,8322918.0
2023-09-17,9273966.0
2023-12-17,11007243.0
2023-12-24,12870426.0
2023-12-31,28983152.0
2024-06-02,13610233.0
2024-12-08,9347526.0
2024-12-15,10387031.0
2024-12-22,20549354.0
2024-12-29,48614460.0
