date,folk_total_streams
2019-04-28,8972171.0
2019-05-05,8838322.0
2019-05-12,10788482.0
2019-05-19,11997661.0
2019-05-26,10324605.0
2019-06-02,10941345.0
2019-06-09,9573496.0
2019-06-16,7929827.0
2019-06-23,6414166.0
2019-06-30,6077196.0
2019-07-07,5659256.0
2019-07-14,5266018.0
2019-07-21,4923437.0
2019-07-28,4644233.0
2019-09-29,4495397.0
2019-10-06,4538717.0
2019-10-13,4613591.0
2019-10-20,4816883.0
2019-10-27,4789483.0
2019-11-03,5005902.0
2019-11-10,4743622.0
2020-08-23,10149909.0
2020-08-30,5904704.0
2020-09-06,4970200.0
2020-09-20,4847880.0
2021-01-17,5064504.0
2021-05-30,6237019.0
2022-05-01,11981034.0
2022-05-08,14308408.0
2022-05-15,14858772.0
2022-05-22,14587755.0
2022-05-29,13755875.0
2022-06-05,12734543.0
2022-06-12,11740051.0
2022-06-19,6274045.0
2022-06-26,6256741.0
2022-07-03,6053509.0
2022-07-10,6286833.0
2022-07-17,6524803.0
2022-07-24,6334272.0
2022-07-31,6238258.0
2022-08-07,5944183.0
2022-08-14,5751788.0
2023-03-26,11233900.0
2023-04-02,10958337.0
2024-01-21,8292340.0
2024-01-28,9212535.0
2024-02-04,9581659.0
2024-02-11,9790011.0
2024-02-18,9360674.0
2024-02-25,10749200.0
2024-03-03,11646875.0
2024-03-10,11805464.0
2024-03-17,12859017.0
2024-03-24,13421994.0
2024-03-31,45200965.0
2024-04-07,53420482.0
2024-04-14,65828675.0
2024-04-21,71588698.0
2024-04-28,62811655.0
2024-05-05,59864838.0
2024-05-12,57308046.0
2024-05-19,55427192.0
2024-05-26,55478204.0
2024-06-02,54450490.0
2024-06-09,55159459.0
2024-06-16,55891109.0
2024-06-23,53141453.0
2024-06-30,48582758.0
2024-07-07,44567751.0
2024-07-14,44721221.0
2024-07-21,42359558.0
2024-07-28,42027150.0
2024-08-04,42328621.0
2024-08-11,42050832.0
2024-08-18,42026441.0
2024-08-25,41861497.0
2024-09-01,36972797.0
2024-09-08,35642485.0
2024-09-15,35562753.0
2024-09-22,35467183.0
2024-09-29,32534896.0
2024-10-06,31359502.0
2024-10-13,20499171.0
2024-10-20,19375863.0
2024-10-27,18684715.0
2024-11-03,17798742.0
2024-11-10,25435213.0
2024-11-17,25632499.0
2024-11-24,25234336.0
2024-12-01,15408620.0
2024-12-08,25465566.0
2024-12-15,17571366.0
2024-12-22,25257927.0
2024-12-29,14766648.0
2025-01-05,24092969.0
2025-01-12,16657872.0
2025-01-19,16281548.0
2025-01-26,15865433.0
2025-02-02,15431783.0
2025-02-09,15170476.0
2025-02-16,15265038.0
2025-02-23,14417493.0
2025-03-02,13806686.0
2025-03-09,13143246.0
2025-03-16,13047495.0
2025-03-23,13432683.0
